0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,label
0.0,0.0,0.27862662,-0.20245528,0.44858977,-0.5225652,0.47658128,-0.7910418,0.43663302,-1.0,0.21305437,-0.7744068,0.3168806,-0.9255596,0.3378243,-0.6808294,0.3354288,-0.4712755,0.024437051,-0.7452647,0.15569495,-0.86428154,0.18705644,-0.57922447,0.19540988,-0.3633457,-0.15011697,-0.6910232,0.007872908,-0.71892285,0.03600171,-0.45143726,0.032851048,-0.2755564,-0.31982106,-0.6149232,-0.15245293,-0.64887035,-0.11864665,-0.44290945,-0.12334066,-0.31148568,A
0.0,0.0,0.28307414,-0.19350733,0.45821413,-0.5123639,0.49234718,-0.7928766,0.45501685,-1.0,0.20298882,-0.7947914,0.33818805,-0.93147594,0.3508639,-0.6842673,0.33828497,-0.48704955,0.014050737,-0.7795345,0.18773542,-0.8321162,0.20554794,-0.5493809,0.19851153,-0.3526907,-0.15618008,-0.7294072,0.03678426,-0.7018723,0.06098668,-0.44001338,0.051378723,-0.26802647,-0.3227731,-0.649779,-0.1309571,-0.62630653,-0.09902842,-0.4153438,-0.109746195,-0.2846492,A
0.0,0.0,0.3099656,-0.1341067,0.47927812,-0.45443887,0.49948153,-0.757381,0.55504453,-1.0,0.33689988,-0.71877325,0.3876553,-0.8599057,0.35770258,-0.6181632,0.34881538,-0.40597296,0.07638708,-0.67872715,0.131209,-0.76742893,0.122860685,-0.41527897,0.1454497,-0.14919923,-0.15917717,-0.6122254,-0.11976933,-0.6171001,-0.097367525,-0.27661458,-0.062162142,-0.044441923,-0.38525662,-0.5262349,-0.35447916,-0.53294384,-0.30743918,-0.26846722,-0.25970408,-0.10979698,A
0.0,0.0,0.23670876,-0.2536991,0.40480736,-0.5328451,0.4582711,-0.7946614,0.47908393,-1.0,0.29366305,-0.7693419,0.27762836,-0.95639485,0.23630898,-0.77336043,0.22884925,-0.5825147,0.10562026,-0.73729885,0.10572657,-0.9288648,0.089353606,-0.69260705,0.105477884,-0.47053337,-0.06496713,-0.6854816,-0.06493312,-0.8285363,-0.04583856,-0.6028583,-0.008555504,-0.40599662,-0.22260922,-0.6064422,-0.20515877,-0.74949825,-0.16917883,-0.58512276,-0.1342268,-0.4349127,A
0.0,0.0,0.2372793,-0.13556921,0.3906138,-0.48478776,0.37805164,-0.7697108,0.34020296,-1.0,0.150119,-0.71898484,0.21105094,-0.8807915,0.24321917,-0.6459707,0.23210645,-0.44201705,-0.043390516,-0.68344957,0.038976043,-0.82457614,0.09287047,-0.5386006,0.10833658,-0.32525364,-0.22922927,-0.6070296,-0.11424646,-0.704678,-0.05758524,-0.40553313,-0.04732872,-0.2062741,-0.42140308,-0.50099814,-0.28957698,-0.5709964,-0.21812844,-0.34895054,-0.19156556,-0.2010114,A
0.0,0.0,0.25281337,-0.18215507,0.40203458,-0.5241544,0.385392,-0.7869605,0.33799586,-1.0,0.15620655,-0.7378521,0.23315279,-0.9064358,0.2563571,-0.68329203,0.2591826,-0.4789346,-0.023209663,-0.69765174,0.07145694,-0.8467543,0.10355388,-0.5677554,0.12409216,-0.34113303,-0.20258199,-0.62331396,-0.08709717,-0.7136757,-0.037058815,-0.43310493,-0.012310908,-0.23274364,-0.3872176,-0.5218924,-0.24777283,-0.60325754,-0.17667566,-0.39367345,-0.14707947,-0.24339412,A
0.0,0.0,0.25487483,-0.19351001,0.40467763,-0.5204076,0.40098357,-0.78476065,0.35698986,-1.0,0.15842853,-0.7518724,0.23614405,-0.92691845,0.27000028,-0.70743203,0.27712786,-0.5031146,-0.020230185,-0.7148701,0.08129676,-0.86448264,0.11890961,-0.5886872,0.13730662,-0.3634709,-0.198973,-0.64541155,-0.07634074,-0.7316493,-0.027212923,-0.45410767,-0.007820393,-0.25591195,-0.383548,-0.5463031,-0.23667806,-0.614013,-0.16794948,-0.41288188,-0.14512327,-0.2682791,A
0.0,0.0,0.26232526,-0.2018336,0.41502482,-0.52255124,0.4219532,-0.7851945,0.38315547,-1.0,0.16980018,-0.7497408,0.2493552,-0.93359816,0.27889252,-0.7131905,0.28275958,-0.5046223,-0.0075030024,-0.71435213,0.09682463,-0.8789278,0.12848306,-0.5955869,0.14103499,-0.36160406,-0.18408662,-0.64590853,-0.064351484,-0.7430414,-0.021232208,-0.45801213,-0.0067375395,-0.25446394,-0.3677266,-0.5479801,-0.22412875,-0.62742746,-0.15708695,-0.41828883,-0.13533685,-0.26668307,A
0.0,0.0,0.26693213,-0.19570528,0.42146084,-0.5135986,0.4377163,-0.77925617,0.3970323,-1.0,0.18500036,-0.73461527,0.26383826,-0.93095136,0.29349095,-0.7159748,0.29741833,-0.51425254,0.010244585,-0.7017651,0.109189264,-0.8770403,0.13860656,-0.59795856,0.15120749,-0.37286228,-0.16625245,-0.6371548,-0.052506533,-0.74490094,-0.011499311,-0.4559809,0.0033856384,-0.25840247,-0.3486166,-0.5442967,-0.21209326,-0.6338965,-0.15169428,-0.42194596,-0.13468686,-0.27347836,A
0.0,0.0,0.26373,-0.18875185,0.41777968,-0.5141597,0.4271617,-0.7791839,0.4103554,-1.0,0.2064548,-0.738361,0.27357998,-0.92632353,0.28919986,-0.71489334,0.2898918,-0.5140414,0.03196088,-0.7055051,0.11685606,-0.8811908,0.13507184,-0.6047476,0.14770278,-0.3758175,-0.14599808,-0.6452709,-0.049073663,-0.76094294,-0.015388186,-0.47225124,0.002609716,-0.27001935,-0.331031,-0.55690473,-0.21218656,-0.6519159,-0.15673964,-0.44034082,-0.1364769,-0.2896293,A
