video_id,file_name,file_path,file_size_mb,gloss_raw,gloss_normalized,possible_region_or_dialect,possible_signer_id,num_frames,fps,width,height,fast_md5,status,dialect,recording_group,split
661,W00009B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00009B.mp4,0.503,Anh (nước Anh),anh (nước anh),B (Miền Bắc / North),unknown,106,29.97,1280,720,5a401a37b062ae280eb5cf86d00eb4b5,VALID,B,RG00041,train
666,W00012B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00012B.mp4,0.801,anh dũng,anh dũng,B (Miền Bắc / North),unknown,154,29.97,1280,720,017177b190aae6fb59eb0f794e96b1f8,VALID,B,RG00186,train
669,W00013N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00013N.mp4,0.494,anh em,anh em,N (Miền Nam / South),unknown,120,29.97,1280,720,a94aae678cf2ce8bff2a0e6280719a33,VALID,N,RG00189,train
670,W00013T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00013T.mp4,0.492,anh em,anh em,T (Miền Trung / Central),unknown,120,29.97,1280,720,4ff96173bdbce937af535c15167ee454,VALID,T,RG00189,train
185,D0143B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0143B.mp4,0.299,"anh hai, anh cả","anh hai, anh cả",B (Miền Bắc / North),unknown,72,29.97,1280,720,0bd99ff17377f970f04a64cb74004fe0,VALID,B,RG00190,train
187,D0143T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0143T.mp4,0.299,"anh hai, anh cả","anh hai, anh cả",T (Miền Trung / Central),unknown,72,29.97,1280,720,b4fe2f61e3505fed6d26c72cc4b8c31a,VALID,T,RG00190,train
676,W00019B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00019B.mp4,0.913,anh ruột,anh ruột,B (Miền Bắc / North),unknown,177,29.97,1280,720,31344df6d0543a46319c75d301c4cec5,VALID,B,RG00194,train
673,W00018B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00018B.mp4,0.318,anh rể,anh rể,B (Miền Bắc / North),unknown,75,29.97,1280,720,5f07869b34a01856bbea0f9f0feddc9c,VALID,B,RG00196,train
980,W00374T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00374T.mp4,0.859,buông màn,buông màn,T (Miền Trung / Central),unknown,152,29.97,1280,720,61e07c76049f42c413e348d131a35431,VALID,T,RG00229,train
714,W00075B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00075B.mp4,0.782,bài thơ,bài thơ,B (Miền Bắc / North),unknown,177,29.97,1280,720,c15896d357b304355ffab491043d7c2f,VALID,B,RG00246,train
932,W00336N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00336N.mp4,0.487,bông hoa,bông hoa,N (Miền Nam / South),unknown,114,29.97,1280,720,2a4ce930a6ea5a78c71553e83b3f3b01,VALID,N,RG00335,train
933,W00336T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00336T.mp4,0.488,bông hoa,bông hoa,T (Miền Trung / Central),unknown,114,29.97,1280,720,b8e483c0455f3be50531f3ba6fea4cb7,VALID,T,RG00335,train
917,W00326B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00326B.mp4,0.442,bố dượng,bố dượng,B (Miền Bắc / North),unknown,112,29.97,1280,720,54b244013e3af4cf034187f24f6df907,VALID,B,RG00459,train
934,W00337B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00337B.mp4,0.895,bốt cảnh sát,bốt cảnh sát,B (Miền Bắc / North),unknown,148,29.97,1280,720,3ad0b7e7fb4b322a331f526bf07e699e,VALID,B,RG00468,train
936,W00338B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00338B.mp4,0.846,bốt điện,bốt điện,B (Miền Bắc / North),unknown,133,29.97,1280,720,c9a135dcf8f571e2d36c7abad355c340,VALID,B,RG00470,train
990,W00386B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00386B.mp4,1.071,bức tranh,bức tranh,B (Miền Bắc / North),unknown,178,29.97,1280,720,6eb9098346933542ca13099004c7855d,VALID,B,RG00500,train
992,W00386T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00386T.mp4,1.066,bức tranh,bức tranh,T (Miền Trung / Central),unknown,178,29.97,1280,720,201212133027e699219ba508244682fc,VALID,T,RG00500,train
1274,W00708B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00708B.mp4,0.485,chữa bài,chữa bài,B (Miền Bắc / North),unknown,103,29.97,1280,720,2eb43cbe77e6e11995b368011a8cf179,VALID,B,RG00760,train
1276,W00708T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00708T.mp4,0.486,chữa bài,chữa bài,T (Miền Trung / Central),unknown,103,29.97,1280,720,13a8ea73a89ccf6042f687f57c2a915a,VALID,T,RG00760,train
382,D0307B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0307B.mp4,0.402,công nghiệp,công nghiệp,B (Miền Bắc / North),unknown,93,29.97,1280,720,242e62fd25dbc894e4ec52b5657e2ccc,VALID,B,RG00950,train
1421,W00850B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00850B.mp4,0.538,công viên,công viên,B (Miền Bắc / North),unknown,99,29.97,1280,720,6e7b48824745b1c9eb2ef308ce1e899c,VALID,B,RG00957,train
3730,D0122N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0122N.mp4,0.32,cần không?,cần không?,N (Miền Nam / South),unknown,78,29.97,1280,720,29f83656b665dcc3085384225fdd8044,VALID,N,RG01011,train
163,D0122T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0122T.mp4,0.32,cần không?,cần không?,T (Miền Trung / Central),unknown,78,29.97,1280,720,446ef693c975c5d43e54797d94cf2d3e,VALID,T,RG01011,train
4057,W01578B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W01578B.mp4,0.439,héc-tô-mét vuông (hm2),héc-tô-mét vuông (hm2),B (Miền Bắc / North),unknown,98,29.97,1280,720,4dcba66e03cf70a741f1098944d33843,VALID,B,RG01487,train
43,D0033N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0033N.mp4,0.658,không cho,không cho,N (Miền Nam / South),unknown,125,29.97,1280,720,c330785ff4913e416dbcfb2586f9574b,VALID,N,RG01657,train
41,D0033T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0033T.mp4,0.657,không cho,không cho,T (Miền Trung / Central),unknown,125,29.97,1280,720,bf4328261fece0386071ca84b40d3d06,VALID,T,RG01657,train
285,D0210T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0210T.mp4,0.504,không dám,không dám,T (Miền Trung / Central),unknown,101,29.97,1280,720,0cc6bd84f12fa648b85b1844025a61a9,VALID,T,RG01663,train
4081,W01840B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W01840B.mp4,0.56,không hiểu,không hiểu,B (Miền Bắc / North),unknown,98,29.97,1280,720,8c535521964bb8fa008e01c91fcc3b1b,VALID,B,RG01665,train
256,D0190B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0190B.mp4,0.328,không muốn,không muốn,B (Miền Bắc / North),unknown,95,29.97,1280,720,4f182fee6818f38307e66b27a250a524,VALID,B,RG01668,train
37,D0031N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0031N.mp4,0.418,không nghe lời,không nghe lời,N (Miền Nam / South),unknown,97,29.97,1280,720,c0e6561db8be80f1bd4fbb5928671640,VALID,N,RG01671,train
38,D0031T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0031T.mp4,0.417,không nghe lời,không nghe lời,T (Miền Trung / Central),unknown,97,29.97,1280,720,e6b5f867916763d5f67f5fb22e0ee1c1,VALID,T,RG01671,train
45,D0035N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0035N.mp4,0.35,không nên,không nên,N (Miền Nam / South),unknown,95,29.97,1280,720,df554d18a13d45838dd345b9d7cc5eea,VALID,N,RG01674,train
146,D0109B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0109B.mp4,0.498,không quen,không quen,B (Miền Bắc / North),unknown,91,29.97,1280,720,73334838cb7182ce033613de98a862e4,VALID,B,RG01676,train
