video_id,file_name,file_path,file_size_mb,gloss_raw,gloss_normalized,possible_region_or_dialect,possible_signer_id,num_frames,fps,width,height,fast_md5,status,dialect,recording_group,split
648,D0551T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0551T.mp4,0.654,1 000 000 (một triệu),1 000 000 (một triệu),T (Miền Trung / Central),unknown,71,23.98,1280,720,14c185b17cdd0392b42f2504000963ec,VALID,T,RG00005,train
649,D0552B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0552B.mp4,0.813,1 000 000 000 (một tỉ),1 000 000 000 (một tỉ),B (Miền Bắc / North),unknown,90,23.98,1280,720,0d2659da4b5cf8719a786ba25a8fcf7f,VALID,B,RG00006,train
651,D0552T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0552T.mp4,0.808,1 000 000 000 (một tỉ),1 000 000 000 (một tỉ),T (Miền Trung / Central),unknown,89,23.98,1280,720,7c36d4960f6a8b7082656d1db080ad98,VALID,T,RG00006,train
645,D0550T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0550T.mp4,0.646,10 000 (mười nghìn),10 000 (mười nghìn),T (Miền Trung / Central),unknown,81,23.98,1280,720,db1b11681f0deab8ff4dde2982e0b819,VALID,T,RG00011,train
628,D0540B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0540B.mp4,0.54,11,11,B (Miền Bắc / North),unknown,121,29.97,1280,720,8b0b3cb51e1e9894e002e8dcacdd61c7,VALID,B,RG00014,train
631,D0541B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0541B.mp4,0.43,12,12,B (Miền Bắc / North),unknown,99,29.97,1280,720,687a7c77effb25877ea2f0506985877d,VALID,B,RG00016,train
3816,D0542B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0542B.mp4,0.344,23,23,B (Miền Bắc / North),unknown,70,23.98,1280,720,ffa3eecc229a9e6598e1f7fc23f0e4e2,VALID,B,RG00021,train
621,D0535B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0535B.mp4,1.425,6,6,B (Miền Bắc / North),unknown,279,29.97,1280,720,7d20a296802717759b5f8004d3a22054,VALID,B,RG00031,train
656,W00004B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00004B.mp4,0.473,ai,ai,B (Miền Bắc / North),unknown,111,30.0,1280,720,24f2f564d89e7e9e97f00c2d9ea96c66,VALID,B,RG00179,train
662,W00009N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00009N.mp4,0.464,Anh (nước Anh),anh (nước anh),N (Miền Nam / South),unknown,117,29.97,1280,720,070752c298fa3b0c8330206e2d3c6f7c,VALID,N,RG00042,train
663,W00009T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00009T.mp4,0.463,Anh (nước Anh),anh (nước anh),T (Miền Trung / Central),unknown,117,29.97,1280,720,38f8ca5324e2a383009a0b546749e0d8,VALID,T,RG00042,train
666,W00012B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00012B.mp4,0.801,anh dũng,anh dũng,B (Miền Bắc / North),unknown,154,29.97,1280,720,017177b190aae6fb59eb0f794e96b1f8,VALID,B,RG00186,train
3820,W00013B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00013B.mp4,0.95,anh em,anh em,B (Miền Bắc / North),unknown,185,29.97,1280,720,be1b7b6f9e4af55bdde447ec8e7ebb04,VALID,B,RG00188,train
185,D0143B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0143B.mp4,0.299,"anh hai, anh cả","anh hai, anh cả",B (Miền Bắc / North),unknown,72,29.97,1280,720,0bd99ff17377f970f04a64cb74004fe0,VALID,B,RG00190,train
187,D0143T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0143T.mp4,0.299,"anh hai, anh cả","anh hai, anh cả",T (Miền Trung / Central),unknown,72,29.97,1280,720,b4fe2f61e3505fed6d26c72cc4b8c31a,VALID,T,RG00190,train
676,W00019B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00019B.mp4,0.913,anh ruột,anh ruột,B (Miền Bắc / North),unknown,177,29.97,1280,720,31344df6d0543a46319c75d301c4cec5,VALID,B,RG00194,train
673,W00018B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00018B.mp4,0.318,anh rể,anh rể,B (Miền Bắc / North),unknown,75,29.97,1280,720,5f07869b34a01856bbea0f9f0feddc9c,VALID,B,RG00196,train
720,W00086B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00086B.mp4,0.773,ban đêm,ban đêm,B (Miền Bắc / North),unknown,138,29.97,1280,720,79a23018ead63689eb75c377bba08c6e,VALID,B,RG00204,train
784,W00145B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00145B.mp4,0.622,bao giờ?,bao giờ?,B (Miền Bắc / North),unknown,117,29.97,1280,720,6039522ed197ba07b8d084512e87d1ee,VALID,B,RG00206,train
786,W00145T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00145T.mp4,0.621,bao giờ?,bao giờ?,T (Miền Trung / Central),unknown,117,29.97,1280,720,b4c124bd93cc00a7482d9412c94f3e36,VALID,T,RG00206,train
953,W00355N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00355N.mp4,0.553,Bra-xin (nước Bra-xin),bra-xin (nước bra-xin),N (Miền Nam / South),unknown,129,29.97,1280,720,fedaebda6794c7756b5f581131d94da9,VALID,N,RG00045,train
3879,W00355T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00355T.mp4,0.552,Bra-xin (nước Bra-xin),bra-xin (nước bra-xin),T (Miền Trung / Central),unknown,129,29.97,1280,720,6d75559a699ab72020c0e4884a662223,VALID,T,RG00045,train
954,W00356B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00356B.mp4,0.615,Bru-nây (nước Bru-nây),bru-nây (nước bru-nây),B (Miền Bắc / North),unknown,129,29.97,1280,720,e33f492c2754f1d01aa05b2234fb978b,VALID,B,RG00046,train
979,W00374N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00374N.mp4,0.852,buông màn,buông màn,N (Miền Nam / South),unknown,132,29.97,1280,720,3fece4e7fca772c87c7dc7f8abc104ab,VALID,N,RG00228,train
3883,W00368B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00368B.mp4,0.709,buổi sáng,buổi sáng,B (Miền Bắc / North),unknown,130,29.97,1280,720,d30d1be1fd946d42379027859617dc4f,VALID,B,RG00234,train
973,W00370B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00370B.mp4,0.714,buổi trưa,buổi trưa,B (Miền Bắc / North),unknown,124,29.97,1280,720,318d448b2207fa952c98c593d134de27,VALID,B,RG00236,train
3884,W00369N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00369N.mp4,0.786,buổi tối,buổi tối,N (Miền Nam / South),unknown,142,29.97,1280,720,b2ca22bcabd9716e139ff3b0ebadf208,VALID,N,RG00240,train
972,W00369T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00369T.mp4,0.788,buổi tối,buổi tối,T (Miền Trung / Central),unknown,142,29.97,1280,720,cdb83d267c39e4b317cb613bf6d22f6a,VALID,T,RG00240,train
969,W00367N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00367N.mp4,0.534,buổi đêm,buổi đêm,N (Miền Nam / South),unknown,86,29.97,1280,720,a895ae77c6e4c18daa600fcb4ae3540f,VALID,N,RG00242,train
970,W00367T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00367T.mp4,0.534,buổi đêm,buổi đêm,T (Miền Trung / Central),unknown,86,29.97,1280,720,5160525cf13024860e96487626fab9c0,VALID,T,RG00242,train
714,W00075B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00075B.mp4,0.782,bài thơ,bài thơ,B (Miền Bắc / North),unknown,177,29.97,1280,720,c15896d357b304355ffab491043d7c2f,VALID,B,RG00246,train
740,W00107B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\W00107B.mp4,0.586,bán hàng,bán hàng,B (Miền Bắc / North),unknown,117,29.97,1280,720,0fc64934d6f91b2099ff8d9b0dcbb0fb,VALID,B,RG00257,train
